Title,Premiere,Runtime,Language
Three Songs for Benazir,24-Jan-22,22 min,Pashto
The Tinder Swindler,2-Feb-22,1 h 54 min,English
Downfall: The Case Against Boeing,18-Feb-22,1 h 29 min,English
11M: Terror in Madrid,23-Feb-22,1 h 32 min,Spanish
Surviving Paradise: A Family Tale,3-Mar-22,1 h 19 min,English
Broken Idol: The Undoing of Diomedes Díaz,30-Mar-22,1 h 42 min,Spanish
Trust No One: The Hunt for the Crypto King,30-Mar-22,1 h 30 min,English
Return to Space,7-Apr-22,2 h 8 min,English
White Hot: The Rise & Fall of Abercrombie & Fitch,19-Apr-22,1 h 28 min,English
The Mystery of Marilyn Monroe: The Unheard Tapes,27-Apr-22,1 h 41 min,English
Hold Your Breath: The Ice Dive,3-May-22,40 min,English
Our Father,11-May-22,1 h 37 min,English
Cyber Hell: Exposing an Internet Horror,18-May-22,1 h 45 min,Korean
The Photographer: Murder in Pinamar,19-May-22,1 h 46 min,Spanish
Gladbeck: The Hostage Crisis,8-Jun-22,1 h 31 min,German
Jennifer Lopez: Halftime,14-Jun-22,1 h 36 min,English
"Sing, Dance, Act: Kabuki featuring Toma Ikuta",16-Jun-22,1 h 27 min,Japanese
The Martha Mitchell Effect,17-Jun-22,40 min,English
Civil: Ben Crump,19-Jun-22,1 h 41 min,English
Girl in the Picture,6-Jul-22,1 h 42 min,English
My Daughter's Killer,12-Jul-22,1 h 24 min,French
Never Stop Dreaming: The Life and Legacy of Shimon Peres,13-Jul-22,2 h 9 min,English
Bank Robbers: The Last Great Heist,10-Aug-22,1 h 50 min,Spanish
Stay on Board: The Leo Baker Story,11-Aug-22,1 h 13 min,English
Inside the Mind of a Cat,18-Aug-22,1 h 7 min,English
Untold: The Rise and Fall of AND1,23-Aug-22,1 h 9 min,English
Running with the Devil: The Wild World of John McAfee,24-Aug-22,1 h 45 min,English
The Figo Affair: The Transfer that Changed Football,25-Aug-22,1 h 44 min,Spanish
Untold: Operation Flagrant Foul,30-Aug-22,1 h 17 min,English
Get Smart With Money,6-Sep-22,1 h 33 min,English
Untold: The Race of the Century,6-Sep-22,1 h 23 min,English
The Anthrax Attacks,8-Sep-22,1 h 35 min,English
Skandal! Bringing Down Wirecard,16-Sep-22,1 h 33 min,English
The Dreamlife of Georgie Stone,22-Sep-22,29 min,English
A Trip to Infinity,26-Sep-22,1 h 19 min,English
Into the Deep: The Submarine Murder Case,30-Sep-22,1 h 27 min,English
The Trapped 13: How We Survived The Thai Cave,5-Oct-22,1 h 43 min,Thai
The Joys and Sorrows of Young Yuguo,6-Oct-22,28 min,English
The Redeem Team,7-Oct-22,1 h 38 min,English
LiSA: Another Great Day,18-Oct-22,1 h 37 min,Japanese
Descendant,21-Oct-22,1 h 49 min,English
Fugitive: The Curious Case of Carlos Ghosn,26-Oct-22,1 h 35 min,English
Orgasm Inc: The Story of OneTaste,5-Nov-22,1 h 29 min,English
State of Alabama vs. Brittany Smith,10-Nov-22,40 min,English
Capturing the Killer Nurse,11-Nov-22,1 h 35 min,English
Is That Black Enough for You?!?,11-Nov-22,2 h 15 min,English
Stutz,14-Nov-22,1 h 36 min,English
In Her Hands,16-Nov-22,1 h 33 min,English
Racionais MC's: From the Streets of São Paulo,16-Nov-22,1 h 56 min,Portuguese
I Am Vanessa Guillen,17-Nov-22,1 h 36 min,English
Ghislaine Maxwell: Filthy Rich,25-Nov-22,1 h 41 min,English
The Last Dolphin King,25-Nov-22,1 h 34 min,Spanish
Take Your Pills: Xanax,30-Nov-22,1 h 30 min,English
The Masked Scammer,1-Dec-22,1 h 30 min,English
"""Sr.""",2-Dec-22,1 h 30 min,English
In Broad Daylight: The Narvarte Case,8-Dec-22,1 h 48 min,Spanish
The Elephant Whisperers,8-Dec-22,41 min,Tamil
Kangaroo Valley,14-Dec-22,1 h 16 min,English
The Volcano: Rescue from Whakaari,16-Dec-22,1 h 38 min,English
